Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Angola,Prevalence of low birth weight among new-borns,Total,2011,15.9,Units,%,Modelled,Free,12.111761,21.6626,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2012,15.8,Units,%,Modelled,Free,12.049075,21.613823,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2013,15.6,Units,%,Modelled,Free,11.896538,21.318985,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2014,15.4,Units,%,Modelled,Free,11.692431,20.69912,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2015,15.3,Units,%,Modelled,Free,11.828047,21.424515,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2000,4.9,Units,%,Modelled,Free,3.8608751,6.0406022,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2001,4.8,Units,%,Modelled,Free,3.8255081,6.1183434,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2002,4.8,Units,%,Modelled,Free,3.8210142,6.0273075,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2003,4.8,Units,%,Modelled,Free,3.7923071,6.022738,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2004,4.8,Units,%,Modelled,Free,3.7199314,5.979413,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2005,4.8,Units,%,Modelled,Free,3.7914817,6.037291,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2006,4.7,Units,%,Modelled,Free,3.7819042,5.9587679,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2007,4.7,Units,%,Modelled,Free,3.695627,5.8811145,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2008,4.7,Units,%,Modelled,Free,3.7200556,5.9285989,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2009,4.7,Units,%,Modelled,Free,3.7222357,5.9216237,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2010,4.7,Units,%,Modelled,Free,3.7341137,5.8536434,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2011,4.6,Units,%,Modelled,Free,3.632123,6.0131154,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2012,4.6,Units,%,Modelled,Free,3.6636994,5.8544035,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2013,4.6,Units,%,Modelled,Free,3.7088866,5.8261628,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2014,4.6,Units,%,Modelled,Free,3.6765575,5.8779283,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Albania,Prevalence of low birth weight among new-borns,Total,2015,4.6,Units,%,Modelled,Free,3.6215954,5.7866936,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2000,7.5,Units,%,Modelled,Free,6.064507,9.5300741,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2001,7.5,Units,%,Modelled,Free,5.9858723,9.4329882,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2002,7.5,Units,%,Modelled,Free,5.971756,9.546258,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2003,7.5,Units,%,Modelled,Free,5.9463272,9.5281277,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2004,7.5,Units,%,Modelled,Free,5.8773513,9.3916092,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2005,7.5,Units,%,Modelled,Free,5.9984164,9.4192343,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2006,7.4,Units,%,Modelled,Free,5.9586964,9.3480606,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2007,7.4,Units,%,Modelled,Free,6.0228047,9.4164286,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2008,7.4,Units,%,Modelled,Free,5.8219938,9.2824869,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2009,7.4,Units,%,Modelled,Free,5.8922005,9.3624067,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2010,7.4,Units,%,Modelled,Free,5.9960132,9.4043198,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2011,7.4,Units,%,Modelled,Free,5.8864508,9.4633989,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2012,7.5,Units,%,Modelled,Free,5.9228063,9.3809776,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2013,7.5,Units,%,Modelled,Free,5.9200683,9.4998093,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2014,7.5,Units,%,Modelled,Free,5.9167709,9.5637751,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Andorra,Prevalence of low birth weight among new-borns,Total,2015,7.4,Units,%,Modelled,Free,5.9960475,9.4364519,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2000,13,Units,%,Modelled,Free,10.373865,16.534306,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2001,13,Units,%,Modelled,Free,10.195638,16.508581,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2002,13,Units,%,Modelled,Free,10.267576,16.751249,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2003,12.9,Units,%,Modelled,Free,10.345321,16.718216,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2004,12.9,Units,%,Modelled,Free,10.306919,16.311737,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2005,12.9,Units,%,Modelled,Free,10.128747,16.022001,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2006,12.9,Units,%,Modelled,Free,10.069615,16.429548,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2007,12.8,Units,%,Modelled,Free,10.245785,16.487206,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2008,12.8,Units,%,Modelled,Free,10.019042,16.446724,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2009,12.8,Units,%,Modelled,Free,9.9756212,16.305185,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2010,12.8,Units,%,Modelled,Free,10.209259,16.235659,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2011,12.8,Units,%,Modelled,Free,10.107184,16.465065,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2012,12.7,Units,%,Modelled,Free,9.9186697,16.688282,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2013,12.7,Units,%,Modelled,Free,10.218568,16.350805,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2014,12.7,Units,%,Modelled,Free,10.05932,16.42436,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
United Arab Emirates,Prevalence of low birth weight among new-borns,Total,2015,12.7,Units,%,Modelled,Free,9.8934898,16.414284,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2000,7.4,Units,%,Modelled,Free,7.0720434,7.6767731,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2001,7.5,Units,%,Modelled,Free,7.2500105,7.7018881,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2002,7.5,Units,%,Modelled,Free,7.3030791,7.7568898,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2003,7.5,Units,%,Modelled,Free,7.300427,7.7876983,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2004,7.5,Units,%,Modelled,Free,7.2803545,7.7711363,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2005,7.5,Units,%,Modelled,Free,7.2554917,7.7096725,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2006,7.4,Units,%,Modelled,Free,7.2291965,7.6150742,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2007,7.4,Units,%,Modelled,Free,7.2005057,7.5034022,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2008,7.3,Units,%,Modelled,Free,7.1638598,7.3953338,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2009,7.2,Units,%,Modelled,Free,7.1101131,7.3151121,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2010,7.2,Units,%,Modelled,Free,7.0445681,7.2725668,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2011,7.1,Units,%,Modelled,Free,6.99333,7.2566805,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2012,7.1,Units,%,Modelled,Free,6.9780927,7.2608886,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2013,7.1,Units,%,Modelled,Free,7.0048208,7.2943344,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2014,7.2,Units,%,Modelled,Free,7.0536218,7.3920045,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Argentina,Prevalence of low birth weight among new-borns,Total,2015,7.3,Units,%,Modelled,Free,7.0898352,7.6036806,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Armenia,Prevalence of low birth weight among new-borns,Total,2000,8.2,Units,%,Modelled,Free,7.3935246,8.9178257,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Armenia,Prevalence of low birth weight among new-borns,Total,2001,8,Units,%,Modelled,Free,7.4657726,8.5239916,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Armenia,Prevalence of low birth weight among new-borns,Total,2002,7.8,Units,%,Modelled,Free,7.4546614,8.2349281,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Armenia,Prevalence of low birth weight among new-borns,Total,2003,7.7,Units,%,Modelled,Free,7.3902411,8.029871,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Armenia,Prevalence of low birth weight among new-borns,Total,2004,7.6,Units,%,Modelled,Free,7.3135343,7.8770881,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Armenia,Prevalence of low birth weight among new-borns,Total,2005,7.5,Units,%,Modelled,Free,7.2566357,7.7537403,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Armenia,Prevalence of low birth weight among new-borns,Total,2006,7.4,Units,%,Modelled,Free,7.2340159,7.6546407,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Armenia,Prevalence of low birth weight among new-borns,Total,2007,7.4,Units,%,Modelled,Free,7.2476163,7.5871539,,b-spline,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
